dayid,race_id,馬名1,馬名2,馬名3,馬名4,馬名5,馬名6,馬名7,馬名8,馬名9,馬名10,馬名11,馬名12,馬名13,馬名14,馬名15,馬名16,馬名17,馬名18,能力1,能力2,能力3,能力4,能力5,能力6,能力7,能力8,能力9,能力10,能力11,能力12,能力13,能力14,能力15,能力16,能力17,能力18,上3F1,上3F2,上3F3,上3F4,上3F5,上3F6,上3F7,上3F8,上3F9,上3F10,上3F11,上3F12,上3F13,上3F14,上3F15,上3F16,上3F17,上3F18,ave3-1,ave3-2,ave3-3,ave3-4,ave3-5,ave3-6,ave3-7,ave3-8,ave3-9,ave3-10,ave3-11,ave3-12,ave3-13,ave3-14,ave3-15,ave3-16,ave3-17,ave3-18,能力の分散,上3F分散,能力偏差値1,能力偏差値2,能力偏差値3,能力偏差値4,能力偏差値5,能力偏差値6,能力偏差値7,能力偏差値8,能力偏差値9,能力偏差値10,能力偏差値11,能力偏差値12,能力偏差値13,能力偏差値14,能力偏差値15,能力偏差値16,能力偏差値17,能力偏差値18,上3F偏差値1,上3F偏差値2,上3F偏差値3,上3F偏差値4,上3F偏差値5,上3F偏差値6,上3F偏差値7,上3F偏差値8,上3F偏差値9,上3F偏差値10,上3F偏差値11,上3F偏差値12,上3F偏差値13,上3F偏差値14,上3F偏差値15,上3F偏差値16,上3F偏差値17,上3F偏差値18,予想タイム1,予想タイム2,予想タイム3,予想タイム4,予想タイム5,予想タイム6,予想タイム7,予想タイム8,予想タイム9,予想タイム10,予想タイム11,予想タイム12,予想タイム13,予想タイム14,予想タイム15,予想タイム16,予想タイム17,予想タイム18
20191116,201911160509,ペイシャリサ,キタサンヴィクター,ヴィジョンオブラヴ,オペラハット,リヴィエラ,クロノスタシス,ネオブレイブ,カナシバリ,ウラノメトリア,カフェプリンス,アンダープロミス,リキサンダイオー,マイネルストラトス,テトラルキア,,,,,94.61,96.25,95.55,95.09,96.81,96.26,94.42,95.53,94.85,92.77,93.38,94.92,95.46,96.3,,,,,60.63,60.06,60.51,62.72,61.3,60.77,60.35,59.22,60.09,65.77,60.46,62.58,60.36,61.46,,,,,38.05,38.24,38.85,38.11,38.2,38.09,37.59,37.81,37.85,37.49,37.95,37.84,37.14,37.64,,,,,1.28,2.66,45.17,59.65,53.47,49.41,64.59,59.73,43.49,53.29,47.29,28.93,34.31,47.91,52.67,60.09,,,,,46.73,43.24,46.0,59.55,50.84,47.59,45.02,38.09,43.42,78.25,45.69,58.69,45.08,51.82,,,,,131.56,132.46,133.65,130.17,131.44,131.56,130.62,132.0,131.46,126.37,131.43,129.59,129.49,129.92,,,,
20191116,201911160510,メイショウグロッケ,チカノワール,アクアミラビリス,スイープセレリタス,ベアインマインド,トーセンブレス,シトラスノート,レジーナドーロ,ネリッサ,レッドベルローズ,ペルソナリテ,ヒストリア,,,,,,,96.37,94.88,95.13,96.91,95.36,96.23,95.64,96.51,95.2,94.69,95.63,96.39,,,,,,,61.35,60.57,60.99,59.67,63.29,59.83,60.67,59.78,60.1,60.03,59.27,59.38,,,,,,,35.33,36.55,36.54,35.79,36.66,36.19,35.48,36.01,36.42,36.85,36.66,36.82,,,,,,,0.52,1.23,58.69,37.98,41.45,66.19,44.65,56.74,48.54,60.63,42.42,35.34,48.4,58.97,,,,,,,58.48,51.44,55.23,43.31,76.0,44.75,52.34,44.3,47.19,46.56,39.7,40.69,,,,,,,91.87,94.43,94.13,93.77,92.77,94.33,92.58,94.06,94.53,95.3,95.5,95.69,,,,,,
20191116,201911160511,ラインベック,リグージェ,オーロラフラッシュ,ゼンノジャスタ,アルジャンナ,コントレイル,ソウルトレイン,マイネルデステリョ,,,,,,,,,,,92.54,92.66,92.59,95.1,91.59,93.6,91.7,94.63,,,,,,,,,,,59.98,57.88,61.01,61.91,58.81,58.66,60.42,59.42,,,,,,,,,,,37.98,38.5,37.62,34.83,38.91,37.7,38.28,36.94,,,,,,,,,,,1.65,1.78,46.02,46.96,46.41,65.93,38.64,54.27,39.49,62.27,,,,,,,,,,,51.64,35.88,59.37,66.12,42.86,41.74,54.94,47.44,,,,,,,,,,,110.07,112.55,108.65,102.46,112.73,110.42,110.37,108.38,,,,,,,,,,
20191116,201911160512,コスモヨハネ,ラストプリマドンナ,トゥザフロンティア,ヴィッテルスバッハ,アシェット,サクラユニヴァース,ブーザー,サトノフォース,ミモザイエロー,,,,,,,,,,96.96,96.0,95.96,95.86,94.5,94.33,96.0,96.1,94.14,,,,,,,,,,60.32,60.76,61.52,59.41,59.99,61.73,60.76,60.24,61.57,,,,,,,,,,35.55,35.1,35.71,36.68,36.96,36.27,35.82,36.62,36.35,,,,,,,,,,0.94,0.63,64.64,54.75,54.34,53.31,39.3,37.55,54.75,55.78,35.59,,,,,,,,,,45.2,50.76,60.35,33.72,41.04,63.0,50.76,44.19,60.98,,,,,,,,,,92.93,91.89,92.39,95.43,95.51,93.18,93.09,94.77,93.42,,,,,,,,,
20191116,201911160809,ショウナンナデシコ,ヴォルスト,アポロアベリア,レーヌブランシュ,キンノマサカリ,ハクアイウィンザー,フレイムウィングス,ベイサイドブルー,セイシェルノユウヒ,ベレヌス,,,,,,,,,93.06,92.53,92.08,92.18,93.39,93.36,93.46,93.99,91.92,91.11,,,,,,,,,59.87,58.92,62.14,60.65,60.27,62.43,61.28,60.48,60.41,62.92,,,,,,,,,38.35,38.29,36.88,38.9,38.5,36.4,37.59,37.26,38.69,38.32,,,,,,,,,0.79,1.55,53.96,48.0,42.93,44.06,57.68,57.34,58.47,64.43,41.13,32.01,,,,,,,,,41.43,33.8,59.66,47.69,44.64,61.99,52.76,46.33,45.77,65.93,,,,,,,,,114.5,115.1,109.85,115.01,114.5,108.67,111.91,111.86,114.77,112.13,,,,,,,,
20191116,201911160810,ギャラッド,ハウエバー,レッドレオン,エーティーラッセン,ラテュロス,ドゥーカ,サトノケンシロウ,イペルラーニオ,スティルウォーター,バイオレントブロー,ステイパーシスト,ゴールドフラッグ,レオコックブルー,,,,,,95.97,95.64,95.21,93.87,96.06,95.2,95.13,95.7,93.87,94.0,95.32,95.48,95.72,,,,,,60.29,61.67,60.86,61.21,60.2,61.55,59.89,62.71,59.85,61.26,61.56,60.14,59.35,,,,,,36.82,36.97,36.76,37.5,36.2,36.41,37.0,37.04,37.85,36.94,36.72,37.25,36.73,,,,,,0.59,0.9,60.43,56.15,50.56,33.15,61.6,50.43,49.52,56.93,33.15,34.84,51.99,54.07,57.19,,,,,,44.51,59.05,50.52,54.21,43.57,57.79,40.3,70.01,39.88,54.73,57.89,42.93,34.61,,,,,,131.99,131.45,131.44,133.18,130.4,130.04,132.74,130.93,135.04,131.65,130.86,133.24,132.39,,,,,
20191116,201911160811,トリコロールブルー,ナイトオブナイツ,マサハヤドリーム,ゴールドサーベラス,ヒーズインラブ,アイスストーム,ロードヴァンドール,ジョルジュサンク,マイネルネーベル,マイネルサーパス,ケイティクレバー,フランツ,レトロロック,ジェシー,アウトライアーズ,アメリカズカップ,キョウヘイ,,96.03,95.49,94.6,96.46,98.16,96.45,95.98,95.46,95.71,95.81,96.71,96.38,95.86,95.93,95.55,94.74,96.25,,60.01,60.91,63.28,61.02,60.29,59.27,64.22,61.2,61.29,60.5,63.82,59.75,61.49,61.88,61.43,61.64,60.48,,36.3,36.38,36.26,35.81,35.55,36.25,36.6,36.01,36.24,36.51,35.57,36.38,35.82,35.95,35.99,36.24,36.2,,0.64,1.88,50.69,43.94,32.81,56.07,77.33,55.94,50.07,43.56,46.69,47.94,59.2,55.07,48.57,49.44,44.69,34.56,53.44,,40.42,46.99,64.28,47.79,42.47,35.03,71.14,49.11,49.76,44.0,68.22,38.53,51.22,54.07,50.79,52.32,43.85,,119.09,118.66,116.75,117.25,117.15,119.49,116.9,117.6,118.07,119.24,114.77,119.46,116.95,116.99,117.39,117.83,118.53,
20191116,201911160812,パッションチカ,レジーナファースト,ショウナンマッシブ,ノボリレーヴ,ウインハートビート,グラナタス,ウィズ,ディアボレット,ズアー,ガーシュウィン,ナーゲルリング,プリディカメント,セトノシャトル,マーマレードガール,ゲンパチケンシン,ローゼンクリーガー,メイショウツバキ,ザイツィンガー,95.18,96.15,96.89,95.31,96.3,95.26,96.8,95.45,96.62,97.05,95.93,93.66,95.51,95.72,96.23,95.58,95.86,95.83,61.66,60.75,60.49,60.95,60.76,61.37,61.29,60.89,61.21,61.51,61.08,62.43,61.04,61.93,60.61,62.09,61.3,60.11,35.01,34.62,34.72,34.9,34.81,35.73,34.24,35.13,34.59,33.57,34.72,36.63,35.62,33.8,35.02,34.64,34.87,35.47,0.63,0.34,41.54,53.76,63.08,43.18,55.65,42.55,61.95,44.94,59.68,65.1,50.99,22.39,45.7,48.34,54.77,46.58,50.1,49.73,57.98,42.44,38.0,45.85,42.61,53.03,51.66,44.83,50.29,55.42,48.07,71.13,47.39,62.59,40.05,65.33,51.83,31.51,67.69,67.91,68.19,68.06,68.1,68.61,67.17,68.33,67.57,66.35,67.79,68.79,68.71,66.29,68.4,67.03,67.79,69.2
20191116,201911160309,スパークオブライフ,ウエスタンランポ,タンタグローリア,マリーツァ,ココナッツスルー,エリンズロマーネ,ワタシヲマッテル,リトミカメンテ,シンボリブーケ,ルエヴェルロール,トレミエール,タイプムーン,デルマエトワール,ネガイ,エフティイーリス,マイタイムオブデイ,,,94.52,94.78,94.09,94.83,93.59,94.8,93.92,94.58,94.1,94.65,93.15,93.74,90.66,92.53,93.64,92.75,,,59.82,60.92,61.3,61.84,63.06,60.95,62.44,60.62,62.42,62.69,61.67,62.8,62.68,61.36,60.46,63.4,,,36.91,36.42,36.78,35.54,37.85,36.54,36.98,36.72,36.3,36.08,37.24,37.11,38.53,37.56,37.1,36.2,,,1.21,1.1,56.82,59.18,52.91,59.64,48.36,59.37,51.36,57.36,53.0,58.0,44.35,49.72,21.7,38.71,48.81,40.71,,,31.38,41.85,45.46,50.6,62.21,42.13,56.31,38.99,56.12,58.69,48.98,59.74,58.59,46.03,37.47,65.44,,,122.05,120.12,120.69,117.41,121.93,120.38,120.34,121.04,118.77,118.06,121.49,120.39,123.78,122.46,122.04,117.83,,
20191116,201911160310,マンノグランプリ,タカノオージャ,カセノウィナー,シュバルツリッター,メイショウランセツ,ヴィーヴァマーレ,クリノロケットマン,ダノングリスター,ユノディエール,キョウワウォール,アイムソーグレイト,ウインドオブホープ,タマモサンシーロ,,,,,,93.41,93.2,94.32,96.75,93.19,95.08,93.78,94.08,93.36,91.38,94.38,95.07,93.63,,,,,,61.92,62.87,62.12,61.56,61.98,60.84,61.09,61.77,62.08,64.01,61.79,62.18,62.08,,,,,,37.94,35.71,37.53,35.7,38.39,37.36,36.4,37.22,37.18,39.07,36.52,36.81,37.85,,,,,,1.6,0.61,45.56,43.9,52.75,71.95,43.82,58.76,48.49,50.86,45.17,29.52,53.23,58.68,47.3,,,,,,48.69,60.85,51.25,44.08,49.46,34.86,38.06,46.77,50.74,75.45,47.03,52.02,50.74,,,,,,106.29,101.48,105.38,102.46,107.07,106.05,104.1,105.08,104.77,106.76,103.78,104.02,106.0,,,,,
